國文,英文,數學,社會,自然
7,8,12,14,13
13,8,11,13,11
12,14,9,10,10
11,15,10,14,15
10,10,15,6,10
13,12,13,7,13
13,6,14,7,13
8,10,10,15,10
9,14,6,15,12
9,15,12,15,12
8,12,8,10,8
6,7,9,11,6
9,10,10,9,15
13,10,15,7,15
10,15,7,6,10
15,10,14,14,13
14,6,9,7,9
14,9,8,13,7
9,13,15,6,11
11,7,15,7,6
7,6,10,10,7
6,6,10,10,8
13,12,9,11,10
10,6,14,7,12
7,12,7,13,6
7,15,13,15,6
7,6,13,15,10
11,6,15,9,6
13,6,8,7,8
15,9,9,13,12
13,7,14,9,8
10,7,10,14,8
8,7,12,11,7
6,6,6,11,11
15,10,6,7,15
13,8,12,7,9
7,8,12,10,7
10,12,13,8,8
10,6,6,7,8
10,14,15,9,12
6,15,15,11,12
13,11,15,6,10
10,15,7,6,7
10,13,7,9,8
6,13,12,15,12
14,11,11,8,7
9,11,9,12,15
9,11,13,10,9
12,15,7,6,6
6,7,9,10,13
14,11,14,9,15
11,14,11,15,12
12,8,8,13,14
6,8,9,10,15
8,10,10,7,15
10,13,14,15,12
14,10,9,6,10
6,14,12,14,7
13,10,14,10,14
10,13,15,11,13
9,10,12,14,6
13,11,11,12,9
9,7,9,13,10
14,10,10,11,10
13,10,6,6,13
14,15,11,14,11
14,11,10,9,8
11,15,6,12,8
9,12,14,6,12
6,11,9,8,8
11,12,9,7,9
12,13,15,15,13
14,15,12,10,12
15,12,6,9,12
8,10,11,11,6
10,9,12,14,9
8,7,7,15,11
9,6,7,11,15
12,10,6,9,11
8,7,9,14,8
15,13,11,7,13
10,11,15,13,15
13,8,14,10,8
13,11,6,13,15
10,14,9,9,6
14,8,8,12,8
9,8,7,11,6
7,7,8,7,6
9,13,8,7,6
6,7,15,6,9
15,11,6,11,9
9,14,7,13,13
9,8,7,7,6
7,14,10,13,12
12,11,8,14,9
14,7,10,12,9
12,11,13,10,10
13,15,7,6,15
12,13,14,10,14
7,12,14,7,10
